Country	Country Code	2010	2011	2012	2013	2014	2015	2016	2017
IDA & IBRD total	IBT	7.368798217	6.083677798	5.024172429	5.019435512	4.363386043	3.844473842	4.013148382	4.839401002
IDA blend	IDB	6.099874341	4.78982245	4.531436362	5.259547077	5.860227858	3.833706339	1.576902167	2.732859258
IDA only	IDX	6.088175754	4.432689214	5.954502672	6.009385811	5.634441428	4.029041498	4.419870028	6.126607627
IDA total	IDA	6.094212891	4.617000144	5.217689661	5.623678229	5.750182727	3.92880575	2.962343113	4.398720892
Late-demographic dividend	LTE	7.635175369	6.842968774	5.364998463	5.211663947	4.580160374	3.814688231	3.688738577	4.815785227
Latin America & Caribbean	LCN	5.836391917	4.354679272	2.802545333	2.789156133	0.993294581	0.08098876	-0.47616584	1.725354183
Latin America & Caribbean (excluding high income)	LAC	5.613853703	4.212547629	3.07326064	2.800583161	1.275629672	-0.339278681	-0.445587577	1.598900751
Latin America & the Caribbean (IDA & IBRD countries)	TLA	6.026440498	4.48524266	2.865253449	2.858141378	1.03412214	0.042132848	-0.437705449	1.72596343
Least developed countries: UN classification	LDC	5.937644124	4.19888266	5.625139832	5.906120105	5.435476768	3.775027461	3.610156926	5.264221626
Low & middle income	LMY	7.438798908	6.12119646	5.246518397	5.169146415	4.55113571	3.895941831	4.1863081	4.923936679
Low income	LIC	6.731313251	4.526019972	6.308557563	5.745883169	5.702758028	1.782688265	2.477560912	5.685067696
Lower middle income	LMC	7.412309742	5.51003669	5.156841378	5.541562998	5.665554223	5.703220568	5.182539506	5.317656577
Middle East & North Africa	MEA	5.005113046	3.652631412	3.893473512	2.661312619	2.875874948	2.523570392	4.639968963	1.832862744
Middle East & North Africa (excluding high income)	MNA	5.235865241	-0.959815542	2.864761779	1.610294091	2.089966968	0.944366683	6.993967056	3.496766235
Middle East & North Africa (IDA & IBRD countries)	TMN	5.252893996	-1.017739703	2.778685414	1.658705004	2.114586233	0.858804575	7.023459808	3.552335742
Middle income	MIC	7.449505041	6.14517436	5.230913828	5.160585626	4.53394647	3.928398233	4.212086547	4.912995957
North America	NAC	2.583647534	1.749551283	2.174510945	1.754386567	2.597542706	2.677036753	1.478334942	2.348806386
OECD members	OED	2.873752206	1.802076754	1.254383563	1.422244758	2.077863873	2.435955072	1.733850159	2.379211309
Other small states	OSS	8.285082505	7.665297377	3.650985856	3.010396093	2.911711049	2.691151709	2.177079791	2.243014202
Pacific island small states	PSS	2.843961903	4.104403886	1.779553476	2.797493936	3.907773869	3.277431085	2.070974212	3.285109642
Post-demographic dividend	PST	2.788413064	1.56786128	1.114181788	1.279444552	1.913515334	2.115451741	1.620084653	2.219880946
Pre-demographic dividend	PRE	6.067989276	4.697313302	6.157713007	5.604861547	4.776667094	3.71417308	2.637736809	1.931096703
